2026-05-12 21:39:16 | INFO    | root                      | Logging initialized: level=INFO, file=logs/jarvis.log
2026-05-12 21:39:17 | INFO    | jarvis.web.server         | Jarvis web server started
2026-05-12 21:39:22 | INFO    | jarvis.web.server         | WebSocket client connected
2026-05-12 21:39:31 | INFO    | jarvis.web.server         | Intent: chat | Input: Jarvis
2026-05-12 21:39:31 | INFO    | jarvis.voice.speak        | TTS starting: ¡Hola! ¿Cómo puedo ayudarte hoy? ¿Quieres abrir Yo...
2026-05-12 21:39:41 | INFO    | jarvis.web.server         | Intent: desktop_task | Input: abre YouTube
2026-05-12 21:39:41 | INFO    | jarvis.desktop.agent      | Starting task: abre YouTube
2026-05-12 21:39:41 | INFO    | jarvis.desktop.agent      | Active window: J.A.R.V.I.S - Google Chrome (browser=True)
2026-05-12 21:39:42 | INFO    | jarvis.desktop.ocr        | OCR found 5 text elements (min_conf=50)
2026-05-12 21:39:42 | INFO    | jarvis.desktop.planner    | Planner captured OCR: 5 text elements
2026-05-12 21:39:51 | INFO    | jarvis.desktop.planner    | Generated plan with 4 steps (attempt 1)
2026-05-12 21:39:51 | INFO    | jarvis.desktop.agent      | Plan created with 4 steps
2026-05-12 21:39:51 | INFO    | jarvis.desktop.agent      | Step 1/4: Abrir Chrome (open_app)
2026-05-12 21:39:51 | INFO    | jarvis.desktop.controller | Opening app: chrome
2026-05-12 21:39:54 | INFO    | jarvis.desktop.agent      | Step 1 result: Opened chrome
2026-05-12 21:39:55 | INFO    | jarvis.desktop.agent      | Step 2/4: Ir a YouTube (navigate)
2026-05-12 21:39:56 | INFO    | jarvis.desktop.web_executor | Browser opened (sync)
2026-05-12 21:39:59 | INFO    | jarvis.desktop.agent      | Step 2 result: Navigated to https://www.youtube.com (title: YouTube)
2026-05-12 21:40:00 | INFO    | jarvis.desktop.agent      | Step 3/4: Esperar a que cargue la página de YouTube (wait)
2026-05-12 21:40:05 | INFO    | jarvis.desktop.agent      | Step 3 result: Waited 5s
2026-05-12 21:40:06 | INFO    | jarvis.desktop.agent      | Step 4/4: Tarea completada (done)
2026-05-12 21:40:06 | INFO    | jarvis.voice.speak        | TTS starting: Task completed...
2026-05-12 21:40:08 | INFO    | jarvis.voice.speak        | TTS completed
2026-05-12 21:40:08 | INFO    | jarvis.web.server         | WebSocket client disconnected
2026-05-12 21:47:27 | INFO    | root                      | Logging initialized: level=INFO, file=logs/jarvis.log
2026-05-12 21:47:28 | INFO    | jarvis.web.server         | Jarvis web server started
2026-05-12 23:13:22 | INFO    | root                      | Logging initialized: level=INFO, file=logs/jarvis.log
2026-05-12 23:13:24 | INFO    | jarvis.web.server         | Jarvis web server started
2026-05-12 23:13:40 | INFO    | jarvis.web.server         | WebSocket client connected
2026-05-12 23:15:09 | INFO    | jarvis.web.server         | WebSocket client disconnected
2026-05-13 00:13:26 | INFO    | root                      | Logging initialized: level=INFO, file=logs/jarvis.log
2026-05-13 00:13:28 | INFO    | jarvis.web.server         | Jarvis web server started
2026-05-13 00:13:33 | INFO    | jarvis.web.server         | WebSocket client connected
2026-05-13 00:17:34 | INFO    | jarvis.web.server         | WebSocket client disconnected
2026-05-13 00:17:34 | INFO    | jarvis.web.server         | WebSocket client connected
2026-05-13 00:17:36 | INFO    | jarvis.web.server         | WebSocket client disconnected
2026-05-13 00:29:00 | INFO    | root                      | Logging initialized: level=INFO, file=logs/jarvis.log
2026-05-13 00:29:01 | INFO    | jarvis.web.server         | Jarvis web server started
2026-05-13 00:39:29 | INFO    | root                      | Logging initialized: level=INFO, file=logs/jarvis.log
2026-05-13 00:39:30 | INFO    | jarvis.web.server         | Jarvis web server started
2026-05-13 00:40:31 | INFO    | root                      | Logging initialized: level=INFO, file=logs/jarvis.log
2026-05-13 00:40:31 | INFO    | jarvis.web.server         | Jarvis web server started
2026-05-13 00:48:25 | INFO    | root                      | Logging initialized: level=INFO, file=logs/jarvis.log
2026-05-13 00:48:26 | INFO    | jarvis.web.server         | Jarvis web server started
2026-05-13 00:51:47 | INFO    | root                      | Logging initialized: level=INFO, file=logs/jarvis.log
2026-05-13 00:51:48 | INFO    | jarvis.web.server         | Jarvis web server started
2026-05-13 00:52:19 | INFO    | root                      | Logging initialized: level=INFO, file=logs/jarvis.log
2026-05-13 00:52:20 | INFO    | jarvis.web.server         | Jarvis web server started
2026-05-13 00:56:08 | INFO    | root                      | Logging initialized: level=INFO, file=logs/jarvis.log
2026-05-13 00:56:09 | INFO    | jarvis.web.server         | Jarvis web server started
2026-05-13 00:58:17 | INFO    | root                      | Logging initialized: level=INFO, file=logs/jarvis.log
